"","code_sp","Year","value_orig","se_orig","value","se.value","pred.value","pred_se.value","name_long"
"1","ACCNIS",1998,0.724612382137818,0.257908789884013,0.724612382137818,0.257908789884013,-0.153656205903421,0.186793432478923,"Accipiter nisus"
"2","ACCNIS",1999,0.631618551181831,0.256999486483504,0.631618551181831,0.256999486483504,-0.177581755768158,0.147379479924737,"Accipiter nisus"
"3","ACCNIS",2000,1.08936791317321,0.198793280293875,1.08936791317321,0.198793280293875,-0.034887039555294,0.112303778546193,"Accipiter nisus"
"4","ACCNIS",2001,1.02113475184641,0.184100456209336,1.02113475184641,0.184100456209336,-0.05330767629529,0.0894010820974109,"Accipiter nisus"
"5","ACCNIS",2002,1.09085237235969,0.150866593613726,1.09085237235969,0.150866593613726,0.0035983457073006,0.105563285236246,"Accipiter nisus"
"6","ACCNIS",2003,0.701298525287504,0.176770159121949,0.701298525287504,0.176770159121949,-0.0738538780790975,0.0522729101622643,"Accipiter nisus"
"7","ACCNIS",2004,0.870941370977667,0.166957445609756,0.870941370977667,0.166957445609756,-0.00419884204993978,0.118643524172099,"Accipiter nisus"
"8","ACCNIS",2005,1.27461182737256,0.137134104135748,1.27461182737256,0.137134104135748,-0.127961636325968,0.0801912364446502,"Accipiter nisus"
"9","ACCNIS",2006,1.26768191243485,0.134353945143621,1.26768191243485,0.134353945143621,-0.0499067450647594,0.0838721238726229,"Accipiter nisus"
"10","ACCNIS",2007,0.743983028874953,0.166473400052747,0.743983028874953,0.166473400052747,-0.129459993146544,0.119745146031921,"Accipiter nisus"
"11","ACCNIS",2008,1.18782466493752,0.125659554219655,1.18782466493752,0.125659554219655,-0.0588146422285112,0.0793618360435663,"Accipiter nisus"
"12","ACCNIS",2009,0.903690458001156,0.141151276840557,0.903690458001156,0.141151276840557,-0.0288812366606239,0.0637509231905677,"Accipiter nisus"
"13","ACCNIS",2010,0.963791500435593,0.14137614429814,0.963791500435593,0.14137614429814,0.0670886125291806,0.0880453831114649,"Accipiter nisus"
"14","ACCNIS",2011,0.94192549134491,0.150656846983579,0.94192549134491,0.150656846983579,0.0423590224103497,0.0864913980265699,"Accipiter nisus"
"15","ACCNIS",2012,1.1459274146239,0.133960537409112,1.1459274146239,0.133960537409112,-0.00603584239378061,0.0830861349402861,"Accipiter nisus"
"16","ACCNIS",2013,0.907475923270368,0.144303309835658,0.907475923270368,0.144303309835658,0.0846970025399945,0.0744734040821295,"Accipiter nisus"
"17","ACCNIS",2014,1.05211537993222,0.138735304735,1.05211537993222,0.138735304735,0.0417155899598096,0.0724646731017193,"Accipiter nisus"
"18","ACCNIS",2015,1.14608865425672,0.134035352900083,1.14608865425672,0.134035352900083,0.0807994626078535,0.0911659417200622,"Accipiter nisus"
"19","ACCNIS",2016,0.886193769929537,0.144097028919306,0.886193769929537,0.144097028919306,0.0892815937109286,0.0886772095926764,"Accipiter nisus"
"20","ACCNIS",2017,0.97839490403154,0.135938973763685,0.97839490403154,0.135938973763685,0.0869170795626058,0.0678199810055401,"Accipiter nisus"
"21","ACCNIS",2018,1.48336295873942,0.119302642021058,1.48336295873942,0.119302642021058,0.142947667616146,0.0739824264605654,"Accipiter nisus"
"22","ACCNIS",2019,1.29283882855265,0.122285513707186,1.29283882855265,0.122285513707186,0.15354213791439,0.0904100085050927,"Accipiter nisus"
"23","ACCNIS",2020,1.2069588673329,0.123673452699724,1.2069588673329,0.123673452699724,0.105598978912827,0.112437573710168,"Accipiter nisus"
"24","ALAARV",1998,1.21168544089105,0.0326390808517196,1.21168544089105,0.0326390808517196,0.199232722678741,0.0305788359483615,"Alauda arvensis"
"25","ALAARV",1999,1.19229564101153,0.0297977712958766,1.19229564101153,0.0297977712958766,0.147775179509302,0.0279015964017749,"Alauda arvensis"
"26","ALAARV",2000,1.17729688289723,0.0288091432576602,1.17729688289723,0.0288091432576602,0.0871868003942684,0.0266644835351009,"Alauda arvensis"
"27","ALAARV",2001,1.06674976361692,0.0246941026040221,1.06674976361692,0.0246941026040221,0.093630517954154,0.0232763765076345,"Alauda arvensis"
"28","ALAARV",2002,1.08498459651332,0.0219887551652678,1.08498459651332,0.0219887551652678,0.0696944269728399,0.0234003501744765,"Alauda arvensis"
"29","ALAARV",2003,1.01265291880847,0.0241700085237536,1.01265291880847,0.0241700085237536,0.0645516441084096,0.0210816983066889,"Alauda arvensis"
"30","ALAARV",2004,1.09594849969618,0.0216855276129855,1.09594849969618,0.0216855276129855,0.106988010653448,0.0244795236181872,"Alauda arvensis"
"31","ALAARV",2005,1.03893581641816,0.0234536767931184,1.03893581641816,0.0234536767931184,0.0506611839281241,0.0216480088193819,"Alauda arvensis"
"32","ALAARV",2006,0.939692104045926,0.0235906117555501,0.939692104045926,0.0235906117555501,-0.0548350694593322,0.0230591712987446,"Alauda arvensis"
"33","ALAARV",2007,1.03425275359776,0.0238857674803038,1.03425275359776,0.0238857674803038,0.0170052292355031,0.0254033040335028,"Alauda arvensis"
"34","ALAARV",2008,0.927599750626781,0.0227688140035561,0.927599750626781,0.0227688140035561,-0.0625569212262786,0.0232280896784478,"Alauda arvensis"
"35","ALAARV",2009,0.908401830517824,0.0225712801240609,0.908401830517824,0.0225712801240609,-0.0845523386932159,0.0200852006686624,"Alauda arvensis"
"36","ALAARV",2010,0.97756006825181,0.0226825020091916,0.97756006825181,0.0226825020091916,-0.0584834618477742,0.0211086635800683,"Alauda arvensis"
"37","ALAARV",2011,0.977413176598143,0.0219382401218376,0.977413176598143,0.0219382401218376,-0.0435694954985698,0.0214041701948847,"Alauda arvensis"
