"","Year","variable","value","se.value","rot_tr.value"
"1",1998,"X1",0,0,0
"2",1999,"X1",-0.434408512383359,0.545038632927816,-0.428505583268056
"3",2000,"X1",-1.06920045010476,0.66285735875308,-1.78294989602535
"4",2001,"X1",-1.64006637982637,0.699926108727531,-2.29137449168938
"5",2002,"X1",-2.26044623982793,0.739138999767744,-3.32385780490741
"6",2003,"X1",-2.98954458368011,0.768875941649182,-4.26250137289518
"7",2004,"X1",-1.72834821707717,0.742171124052395,-3.71284407228843
"8",2005,"X1",-2.88493089571424,0.816606947719383,-3.75639802347517
"9",2006,"X1",-4.64206887721989,0.948297459098246,-5.3582756452226
"10",2007,"X1",-3.27550288507384,0.956272350430858,-4.52100274860119
"11",2008,"X1",-4.63757604756267,1.01928261828616,-5.38949229448485
"12",2009,"X1",-5.11021325064196,1.07791530232519,-5.76754106121408
"13",2010,"X1",-4.21024772579261,1.01423947489491,-5.07050004319971
"14",2011,"X1",-4.26343525101296,1.04187205557991,-5.16104763451705
"15",2012,"X1",-5.57657190459536,1.16995804455354,-6.09427939847075
"16",2013,"X1",-5.64307394029089,1.20765574937552,-6.75409050791729
"17",2014,"X1",-5.48015248272767,1.29206486324407,-5.9426145866374
"18",2015,"X1",-5.96593177449591,1.23433833320034,-6.4616615227749
"19",2016,"X1",-5.443191183068,1.19929331894201,-5.81687945566278
"20",2017,"X1",-5.19083068027528,1.10628899502267,-5.39067131381823
"21",2018,"X1",-4.12888979601653,0.963210332541248,-4.51358526674181
"22",2019,"X1",-2.86382001129245,0.800869692139598,-3.08415287782619
"23",2020,"X1",-2.07204923224462,0.764372832388815,-2.02887839936103
"24",1998,"X2",0,0,0
"25",1999,"X2",-0.00808755030474083,0.639773492160496,-0.172512052628501
"26",2000,"X2",2.22132251956103,0.781244603265012,1.55542221284124
"27",2001,"X2",2.65423902691584,0.971817833316383,1.49647597090298
"28",2002,"X2",3.82686425601449,1.08414708402063,2.36206561616148
"29",2003,"X2",3.70849295970259,1.18791778258295,2.31429085711667
"30",2004,"X2",3.62253110456503,1.04293295190025,3.59208280730252
"31",2005,"X2",3.04676794901928,1.09869762373554,1.44095680140353
"32",2006,"X2",1.43187728756192,1.35680876995748,0.114555511472418
"33",2007,"X2",2.75571407935838,1.17206430292985,1.64858327273915
"34",2008,"X2",2.45028865440301,1.41044616256618,0.507400089498037
"35",2009,"X2",2.98604245568013,1.49765794614464,0.506975270313139
"36",2010,"X2",2.47559385541859,1.33888501621851,1.02351434581039
"37",2011,"X2",2.17910867999633,1.35028436246477,1.02495823775927
"38",2012,"X2",1.69850531729547,1.61764435466649,-0.0220441502376174
"39",2013,"X2",2.92040038145903,1.69735463752365,1.25382399266527
"40",2014,"X2",4.40130720477954,1.72839763236976,0.940303610562075
"41",2015,"X2",4.65856793706877,1.85893349701978,1.11280173383633
"42",2016,"X2",4.69174951974031,1.75632438677032,1.00489011909416
"43",2017,"X2",4.05307766024968,1.67271730777593,0.607684026687012
"44",2018,"X2",4.42092067031963,1.45579089212366,1.34016051774163
"45",2019,"X2",3.86931156043567,1.19865388250819,1.37198031873763
"46",2020,"X2",2.77330692898495,0.996029818907795,0.735322324407212
"47",1998,"X3",0,0,0
"48",1999,"X3",-0.715243533263874,1.41246383938678,-0.834412913534487
"49",2000,"X3",-2.14185087538785,1.83952809434948,-0.984866079071667
"50",2001,"X3",-2.37778678742156,2.37964674209995,-0.930453591607089
"51",2002,"X3",-3.16640070743986,2.60240738396453,-1.04166974228106
"52",2003,"X3",-2.38797317009,2.29453779521565,-0.4260771719514
"53",2004,"X3",-1.9393002147613,3.87370285670318,-0.0663380475762517
"54",2005,"X3",-0.537253151959015,2.28126509818201,0.852973429620372
"55",2006,"X3",-0.582772427098854,3.3532962939122,0.263047859452727
"56",2007,"X3",-0.0423380789818831,4.01310217739188,1.08955539951789
"57",2008,"X3",0.67804311333333,3.77806905539723,1.88850056674865
"58",2009,"X3",1.13264650110003,3.90339969130972,2.80996302385983
"59",2010,"X3",-0.207763651432746,4.09353724592508,1.67981446476247
"60",2011,"X3",-0.723995990222029,4.41685432048748,1.26491268068989
"61",2012,"X3",-0.71815376132404,4.19498714491511,1.2231278353237
"62",2013,"X3",-0.481455587248572,5.96201119127176,2.14520641539553
"63",2014,"X3",1.25523782981363,4.17204147296878,4.37425464924811
"64",2015,"X3",0.610560949944951,5.00263761040129,4.37620793287109
"65",2016,"X3",1.58726749526677,4.66973459978019,5.0323486751466
"66",2017,"X3",1.5132627816626,4.50172515803762,4.66981359878201
"67",2018,"X3",2.09048694871716,5.49676691428296,5.4790958046496
"68",2019,"X3",1.29806641846657,5.08622304603514,4.59803591242589
"69",2020,"X3",1.37889586477132,4.18329144562194,3.84026385862881
"70",1998,"X4",0,0,0
"71",1999,"X4",1.17903700826924,0.783972784959115,0.759502565787292
"72",2000,"X4",1.51433342112888,1.6184065122681,0.406723801983349
"73",2001,"X4",1.43479904671494,1.89313962010215,0.106273046221843
"74",2002,"X4",1.78193235837057,2.42371035643193,0.0759039492825883
"75",2003,"X4",2.42909085534189,2.05486911994667,1.10665092571523
"76",2004,"X4",2.30107088425734,2.1069046428687,1.61151938495914
"77",2005,"X4",2.35994099800163,1.39130382559998,1.69456996292761
"78",2006,"X4",2.36313481627976,1.71333864070548,1.94791069279114
"79",2007,"X4",3.20045705360155,1.74446290779346,2.92085040352359
"80",2008,"X4",2.11526747707832,1.90160111569988,2.01924979979083
"81",2009,"X4",0.947966100759139,2.09362116044231,0.985744200038323
"82",2010,"X4",-0.728776322371324,1.9073756261582,-0.797485033255842
"83",2011,"X4",-1.50367038432366,2.02339473129654,-1.60142660088436
"84",2012,"X4",-1.89887337119201,2.12768279440265,-2.06794962189322
"85",2013,"X4",-2.20982744102351,2.59512940521246,-2.17855513215101
"86",2014,"X4",-2.96210876085152,2.45297785380242,-2.87108716360228
"87",2015,"X4",-4.86901127387088,2.54970823892907,-4.85958403401564
"88",2016,"X4",-4.17802894844115,2.64990779791571,-3.93599089286896
"89",2017,"X4",-4.38780072785128,2.52750183087876,-4.10832936431631
"90",2018,"X4",-5.45901988742097,2.72369592773452,-4.80142475182802
"91",2019,"X4",-6.57533286701918,2.24570423201436,-6.07456390226981
"92",2020,"X4",-5.56871902264219,1.99322128735734,-5.05339564189663
"93",1998,"X5",0,0,0
"94",1999,"X5",-0.645062797848669,1.7108320037704,-1.01000854209709
"95",2000,"X5",-0.778456845504742,4.00690892964324,-2.61353309616149
"96",2001,"X5",-1.19758825142784,4.39766403002527,-3.24263214594964
"97",2002,"X5",-1.13683179740963,5.9330844091692,-4.06571619752316
"98",2003,"X5",0.187843249056375,5.20118971946959,-3.06551823149929
"99",2004,"X5",2.29883162542977,4.40205668405257,-1.07735466682986
"100",2005,"X5",0.644369207302374,2.67548978947049,-2.02306245620393
"101",2006,"X5",1.81886848731421,2.7891818107453,-0.493555837253495
"102",2007,"X5",2.22425406931162,2.51052251959478,-0.799445156738571
"103",2008,"X5",2.16391040669912,1.96352817756029,-0.423965930787362
"104",2009,"X5",2.28762074801772,2.40490450804594,-0.237334963072279
"105",2010,"X5",2.45027417077245,1.94785668566652,0.466437247578093
"106",2011,"X5",2.62597435583579,2.1043695199285,0.868796634533892
"107",2012,"X5",2.35138264606605,2.32866893468843,0.848737357215514
"108",2013,"X5",3.59640519151286,2.47274737964527,1.37275735822217
"109",2014,"X5",1.95988646578313,4.24421714931101,-0.135489413744113
"110",2015,"X5",2.10452146105534,4.33658521389899,0.213337788084406
"111",2016,"X5",2.01835096849599,5.18372695390273,0.165771495807347
"112",2017,"X5",1.83284644508599,5.13202525498947,0.400126146705703
"113",2018,"X5",2.44414415532371,6.37310645368796,1.2224943065178
"114",2019,"X5",1.62594656435626,5.76342036670537,1.1402316230796
"115",2020,"X5",1.08372793729033,5.31481281129361,1.06282192614263
