"","code_sp","Year","value_orig","se_orig","value","se.value","pred.value","pred_se.value","name_long"
"1","ALAARV",1998,1.21168544089105,0.0326390808517196,1.21168544089105,0.0326390808517196,0.189198124778428,0.0260920769668509,"Alauda arvensis"
"2","ALAARV",1999,1.19229564101153,0.0297977712958766,1.19229564101153,0.0297977712958766,0.166006593147978,0.0235147501947988,"Alauda arvensis"
"3","ALAARV",2000,1.17729688289723,0.0288091432576602,1.17729688289723,0.0288091432576602,0.132117300275585,0.0223378530666613,"Alauda arvensis"
"4","ALAARV",2001,1.06674976361692,0.0246941026040221,1.06674976361692,0.0246941026040221,0.101640790519253,0.0216683837612443,"Alauda arvensis"
"5","ALAARV",2002,1.08498459651332,0.0219887551652678,1.08498459651332,0.0219887551652678,0.0685209074230777,0.0187857946039672,"Alauda arvensis"
"6","ALAARV",2003,1.01265291880847,0.0241700085237536,1.01265291880847,0.0241700085237536,0.0295969295977202,0.0200021682077437,"Alauda arvensis"
"7","ALAARV",2004,1.09594849969618,0.0216855276129855,1.09594849969618,0.0216855276129855,0.0969277359574004,0.0207563371800717,"Alauda arvensis"
"8","ALAARV",2005,1.03893581641816,0.0234536767931184,1.03893581641816,0.0234536767931184,0.0351818838154166,0.0189664742719298,"Alauda arvensis"
"9","ALAARV",2006,0.939692104045926,0.0235906117555501,0.939692104045926,0.0235906117555501,-0.058625488543786,0.0196794963525004,"Alauda arvensis"
"10","ALAARV",2007,1.03425275359776,0.0238857674803038,1.03425275359776,0.0238857674803038,0.0143306288630102,0.0204322394552916,"Alauda arvensis"
"11","ALAARV",2008,0.927599750626781,0.0227688140035561,0.927599750626781,0.0227688140035561,-0.0583856322837556,0.018983957177357,"Alauda arvensis"
"12","ALAARV",2009,0.908401830517824,0.0225712801240609,0.908401830517824,0.0225712801240609,-0.0836180582894131,0.0188549106655021,"Alauda arvensis"
"13","ALAARV",2010,0.97756006825181,0.0226825020091916,0.97756006825181,0.0226825020091916,-0.035572086949332,0.0170505309869989,"Alauda arvensis"
"14","ALAARV",2011,0.977413176598143,0.0219382401218376,0.977413176598143,0.0219382401218376,-0.0384115805097265,0.0180809515301466,"Alauda arvensis"
"15","ALAARV",2012,0.90522498140931,0.0238705924396242,0.90522498140931,0.0238705924396242,-0.108515294798328,0.0191071952382965,"Alauda arvensis"
"16","ALAARV",2013,0.861691833945073,0.0238807016079464,0.861691833945073,0.0238807016079464,-0.112065602907763,0.0233917995124683,"Alauda arvensis"
"17","ALAARV",2014,0.93252078884373,0.0227686661327982,0.93252078884373,0.0227686661327982,-0.103367803420302,0.0222860979003883,"Alauda arvensis"
"18","ALAARV",2015,0.867482802895979,0.0229667673011965,0.867482802895979,0.0229667673011965,-0.129301838986619,0.0189499622017453,"Alauda arvensis"
"19","ALAARV",2016,0.910891927628916,0.0232337368497929,0.910891927628916,0.0232337368497929,-0.101394570562924,0.0173110138096539,"Alauda arvensis"
"20","ALAARV",2017,0.902709735167528,0.0223533045788089,0.902709735167528,0.0223533045788089,-0.087921937278913,0.0179123289336404,"Alauda arvensis"
"21","ALAARV",2018,0.957061031975936,0.0221681677189567,0.957061031975936,0.0221681677189567,-0.0312286752803524,0.0185974128995935,"Alauda arvensis"
"22","ALAARV",2019,1.02363074335331,0.0223244663916099,1.02363074335331,0.0223244663916099,0.0363089191516454,0.0181277086613895,"Alauda arvensis"
"23","ALAARV",2020,1.10768475920229,0.0211545062103838,1.10768475920229,0.0211545062103838,0.0785787562816996,0.022658170808888,"Alauda arvensis"
"24","ANTPRA",1998,0.998692832156902,0.0791340581372919,0.998692832156902,0.0791340581372919,-0.0277707261674409,0.0628124085772086,"Anthus pratensis"
"25","ANTPRA",1999,0.942545010823955,0.0934779093201099,0.942545010823955,0.0934779093201099,-0.0725073488289739,0.0637432126229193,"Anthus pratensis"
"26","ANTPRA",2000,1.12074983270996,0.0521729807179233,1.12074983270996,0.0521729807179233,0.158289810239285,0.0457898199394074,"Anthus pratensis"
"27","ANTPRA",2001,1.23046364621452,0.0664615233487089,1.23046364621452,0.0664615233487089,0.158113148511965,0.0536263496364197,"Anthus pratensis"
"28","ANTPRA",2002,1.25629344930533,0.0428680017306079,1.25629344930533,0.0428680017306079,0.250708926969237,0.0385136976071908,"Anthus pratensis"
"29","ANTPRA",2003,1.21182870844971,0.0413102984221681,1.21182870844971,0.0413102984221681,0.161775729240097,0.0384705322929531,"Anthus pratensis"
"30","ANTPRA",2004,1.30757501386014,0.0426740780839433,1.30757501386014,0.0426740780839433,0.277194963063548,0.0396601668299353,"Anthus pratensis"
"31","ANTPRA",2005,1.14525735357051,0.045334778438076,1.14525735357051,0.045334778438076,0.0848473137910293,0.0408447344108487,"Anthus pratensis"
"32","ANTPRA",2006,0.67248509316389,0.0557814796011654,0.67248509316389,0.0557814796011654,-0.305186500719124,0.0473602782857694,"Anthus pratensis"
"33","ANTPRA",2007,1.03281541897425,0.0405059296133294,1.03281541897425,0.0405059296133294,0.00712432437626995,0.0365084970554963,"Anthus pratensis"
"34","ANTPRA",2008,0.828759838110246,0.0354691070361915,0.828759838110246,0.0354691070361915,-0.170155658685762,0.0318539620140089,"Anthus pratensis"
"35","ANTPRA",2009,0.859944318578812,0.038277373124543,0.859944318578812,0.038277373124543,-0.14686855156426,0.0345875858003426,"Anthus pratensis"
"36","ANTPRA",2010,0.887838156598346,0.03944990057113,0.887838156598346,0.03944990057113,-0.123855507928848,0.0338410956859618,"Anthus pratensis"
