"Species","SFI.x","SFI.y","STI","sd_STI","SSI"
"Acanthis flammea",0.912504822942936,0.292356377872154,5.70297027605234,3.52734051891674,1.46
"Accipiter nisus",0.96021332963563,0.545404043844275,9.76478922492969,3.7838870884204,2.07
"Acrocephalus arundinaceus",0.918105648371967,0.20584752549048,11.1192696441077,3.06915522461109,NA
"Acrocephalus palustris",0.888410282637982,0.293261346125482,9.06888154992135,2.66238855183502,2.64
"Acrocephalus schoenobaenus",0.886842775945826,0.00835439074259745,8.41184838664555,3.32722868171433,NA
"Acrocephalus scirpaceus",0.886707820135089,0.0982361307778441,11.1091433532727,3.19708219774191,NA
"Actitis hypoleucos",0.921076808903763,0.508544030896083,8.16762517064192,3.91214565420382,NA
"Aegithalos caudatus",1.13014370095659,0.494860278454629,10.123780877695,3.51720997677979,2.07
"Alauda arvensis",0.963095417205831,0.243778987190596,9.62327274856677,3.33936634810471,2.64
"Alcedo atthis",0.960773543361116,0.606965496636177,10.8402481934078,2.69183340277876,NA
"Alectoris rufa",0.91702855119629,0.402991956650128,13.1221313344578,2.72091958256208,2.07
"Anas platyrhynchos",1.62005016192399,0.448888054685596,9.34457148961049,4.09062500710791,NA
"Anthus campestris",0.922443081112324,0.131853936984101,12.0510841071819,2.68870798586314,3.87
"Anthus pratensis",0.910944805826362,0.11015828841094,7.22261023695723,3.40068734416385,2.07
"Anthus trivialis",0.880759270835158,0.146313401831835,8.46297325335111,3.49341843736391,1.72
"Apus apus",0.951471301501316,0.402310558940099,9.9954815366019,3.98030505469225,2.64
"Ardea cinerea",1.10172101684196,0.742368068003724,10.1197248872908,3.08890226316268,NA
"Bombycilla garrulus",0.911460633280643,0.224183753318841,2.87608900154421,1.73391294739978,3.87
"Bubulcus ibis",0.95625394143,0.546031178886737,14.389791964732,2.40967048639019,NA
"Burhinus oedicnemus",1.06060291702178,0.402026481055655,14.1198252805338,2.4449090807221,2.64
"Buteo buteo",0.96021332963563,0.750831473023568,10.1535141094974,3.677791065505,2.07
"Calandrella brachydactyla",0.907181345105499,0.0631221547177293,13.7973264336822,2.5469817019669,3.87
"Calcarius lapponicus",1.07300469237021,0.521207594631959,1.04634257494828,1.82014272407054,3.87
"Carduelis carduelis",0.962207175932971,0.560657288835754,10.6291253306943,3.41980143128005,2.07
"Carduelis citrinella",1.07300469237021,0.397890203473657,9.69425288489609,3.43462976523695,2.07
"Carpodacus erythrinus",0.889648055243456,0.414426611098301,7.45150137766188,2.84663474229614,2.64
"Cecropis daurica",0.957123815153044,0.52016793572191,14.2684555374775,2.48075449011183,3.87
"Certhia brachydactyla",0.87905227510337,0.058155886734078,12.3087006544204,2.83249315028098,2.07
"Certhia familiaris",0.948525999196029,0.055188001635717,8.54334138944238,2.99221641049435,2.64
"Cettia cetti",0.890370886215274,0.328765859731813,13.3350452988527,2.81822532403571,NA
"Chloris chloris",0.919061956745654,0.656344664443479,9.97224761572881,4.00597143852747,1.46
"Chroicocephalus ridibundus",1.10022523794993,0.65933181231135,8.35760565947837,3.5866032831535,NA
"Ciconia ciconia",1.10195461576011,0.678568333370592,11.0561393027405,2.8574990436084,NA
"Circus aeruginosus",0.962207175932971,0.826527290035147,10.1102145332556,3.20964654540077,NA
"Cisticola juncidis",1.25885619781813,0.388546386782329,14.5912708415521,2.3094454670261,NA
"Clamator glandarius",0.880576842960227,0.00222294295040828,14.6537421385331,2.514875059954,2.07
"Coccothraustes coccothraustes",0.919989406689056,0.554319988485988,10.0849714693321,3.08620181166358,3.87
"Coloeus monedula",1.50973066779242,0.594699506558384,10.1887463172823,3.53205852731475,2.64
"Columba oenas",1.09928193433249,1,9.7443282675819,2.73507048815522,2.07
"Columba palumbus",0.959642064827888,0.56639425553923,9.71646461205293,3.85906539914577,1.72
"Corvus corax",1.10212554599023,0.380949165270668,9.33898741747539,4.23254134095917,2.07
"Corvus cornix",1.10139461637287,0.604612599211914,9.56091697701302,4.09058443184276,2.64
"Corvus corone",1.10139461637287,0.61283321099248,9.56091697701302,4.09058443184276,2.64
"Corvus frugilegus",1.09928193433249,0.729057112237108,9.83149969680305,2.35918818411247,1.72
"Cuculus canorus",1.2587629125329,0.237570254899581,9.51171697896862,4.03894900664603,1.11
"Curruca cantillans",1.35204552089903,0.225261142558832,14.3759107071088,2.5760400000643,2.07
"Curruca communis",0.888771841299991,0.129184799597854,9.64498704806372,3.39773961099034,2.64
"Curruca curruca",0.886707820135089,0.107296312813702,8.95239483580971,3.32957648883577,2.64
"Curruca hortensis",0.911460633280643,0.209755945897179,14.2280394434411,2.79808591891536,2.07
"Curruca melanocephala",0.915268644224436,0.198978296513178,14.8302525504707,2.40447369376929,3.87
"Curruca nisoria",0.890370886215274,0.375862278066365,9.99948251874309,2.20271174160124,3.87
"Curruca undata",0.915632548807501,0.201654404241029,14.0639537163126,2.3672856487016,2.64
"Cyanistes caeruleus",0.893071117439253,0.200368557758709,9.94934018782639,3.82849428786128,2.07
"Cyanopica cyanus",0.893811581192688,0.480594418503699,NA,NA,NA
"Cygnus olor",0.918140926836442,0.509242083760657,10.1341097970045,2.4982244341531,NA
"Delichon urbicum",0.951471301501316,0.401920837206092,9.93351990344343,3.98515346268271,2.64
"Dendrocopos major",0.948525999196029,0.236787688689591,9.42869977744561,3.85727946130971,2.07
"Dendrocopos syriacus",0.949224914684083,0.274459206123859,11.577340838015,2.21694900340874,NA
"Dendrocoptes medius",0.960259815912321,0.226031588631119,10.7335762351507,2.15232101117212,2.64
